# of reads,# of items in equivalence class,isoforms in equivalence class
329,3,"ENST00000407364, ENST00000303459, ENST00000406787"
326,12,"ENST00000421485, ENST00000405957, ENST00000381775, ENST00000446808, ENST00000432093, ENST00000417766, ENST00000429923, ENST00000311604, ENST00000612798, ENST00000406638, ENST00000451814, ENST00000457279"
325,3,"ENST00000525684, ENST00000528634, ENST00000228136"
324,3,"ENST00000524711, ENST00000531921, ENST00000525782"
323,1,ENST00000265981
323,2,"ENST00000379965, ENST00000454828"
319,1,ENST00000396505
316,1,ENST00000263645
310,1,ENST00000257836
310,3,"ENST00000349215, ENST00000438420, ENST00000396253"
309,1,ENST00000263181
307,1,ENST00000227756
306,3,"ENST00000693612, ENST00000299424, ENST00000527248"
306,3,"ENST00000437750, ENST00000331079, ENST00000330796"
306,3,"ENST00000250024, ENST00000620009, ENST00000527884"
305,2,"ENST00000361367, ENST00000524523"
305,6,"ENST00000524486, ENST00000534649, ENST00000347755, ENST00000531286, ENST00000525028, ENST00000411829"
300,3,"ENST00000429295, ENST00000397298, ENST00000381519"
299,13,"ENST00000533182, ENST00000397566, ENST00000469048, ENST00000397570, ENST00000649187, ENST00000532326, ENST00000533190, ENST00000647801, ENST00000528413, ENST00000348655, ENST00000532788, ENST00000330243, ENST00000525445"
293,8,"ENST00000524851, ENST00000532872, ENST00000534440, ENST00000531188, ENST00000526608, ENST00000526248, ENST00000527446, ENST00000278572"
292,8,"ENST00000524851, ENST00000532872, ENST00000534440, ENST00000531188, ENST00000526248, ENST00000527446, ENST00000530170, ENST00000278572"
288,3,"ENST00000532820, ENST00000529307, ENST00000341394"
287,3,"ENST00000409548, ENST00000409655, ENST00000409479"
281,12,"ENST00000396525, ENST00000526148, ENST00000530211, ENST00000530702, ENST00000524932, ENST00000532082, ENST00000527526, ENST00000339995, ENST00000531416, ENST00000528562, ENST00000532570, ENST00000525681"
280,1,ENST00000435224
279,4,"ENST00000349215, ENST00000531848, ENST00000438420, ENST00000396253"
276,1,ENST00000395787
276,1,ENST00000273550
274,5,"ENST00000299613, ENST00000680141, ENST00000681684, ENST00000530712, ENST00000450114"
272,12,"ENST00000680938, ENST00000680696, ENST00000680588, ENST00000679380, ENST00000399815, ENST00000528780, ENST00000681938, ENST00000679765, ENST00000408968, ENST00000681180, ENST00000681426, ENST00000681577"
272,3,"ENST00000449352, ENST00000265978, ENST00000524416"
271,4,"ENST00000534562, ENST00000318950, ENST00000447399, ENST00000534662"
267,15,"ENST00000680197, ENST00000680344, ENST00000680619, ENST00000681276, ENST00000679962, ENST00000681833, ENST00000616316, ENST00000680081, ENST00000399817, ENST00000680261, ENST00000602569, ENST00000681810, ENST00000681914, ENST00000681900, ENST00000533141"
264,2,"ENST00000397298, ENST00000381519"
262,1,ENST00000465995
261,16,"ENST00000526000, ENST00000433892, ENST00000263398, ENST00000425428, ENST00000525685, ENST00000442151, ENST00000531873, ENST00000527889, ENST00000525211, ENST00000428726, ENST00000279452, ENST00000434472, ENST00000415148, ENST00000528455, ENST00000531110, ENST00000352818"
258,6,"ENST00000396525, ENST00000526148, ENST00000531180, ENST00000528839, ENST00000339995, ENST00000525681"
257,11,"ENST00000493525, ENST00000530648, ENST00000464784, ENST00000527343, ENST00000381036, ENST00000526072, ENST00000492252, ENST00000263645, ENST00000533417, ENST00000475945, ENST00000492627"
256,2,"ENST00000254436, ENST00000533692"
255,2,"ENST00000532428, ENST00000395787"
254,2,"ENST00000528080, ENST00000524543"
254,11,"ENST00000680197, ENST00000680344, ENST00000681833, ENST00000527146, ENST00000680619, ENST00000616316, ENST00000399817, ENST00000680261, ENST00000681211, ENST00000602569, ENST00000533141"
254,12,"ENST00000495052, ENST00000542179, ENST00000430553, ENST00000539814, ENST00000227157, ENST00000541097, ENST00000422447, ENST00000540430, ENST00000396222, ENST00000379412, ENST00000543445, ENST00000478970"
251,5,"ENST00000428726, ENST00000433892, ENST00000263398, ENST00000525469, ENST00000425428"
249,6,"ENST00000339995, ENST00000530211, ENST00000524932, ENST00000530702, ENST00000528562, ENST00000527419"
248,1,ENST00000322028
246,7,"ENST00000414023, ENST00000256196, ENST00000537760, ENST00000534746, ENST00000526063, ENST00000532814, ENST00000529237"
244,2,"ENST00000429295, ENST00000397298"
240,5,"ENST00000531978, ENST00000530022, ENST00000532359, ENST00000526562, ENST00000314138"
237,11,"ENST00000278386, ENST00000415148, ENST00000433892, ENST00000263398, ENST00000425428, ENST00000526669, ENST00000352818, ENST00000428726, ENST00000279452, ENST00000434472, ENST00000525469"
236,16,"ENST00000433892, ENST00000263398, ENST00000533222, ENST00000425428, ENST00000525685, ENST00000442151, ENST00000531873, ENST00000525688, ENST00000525211, ENST00000428726, ENST00000434472, ENST00000278385, ENST00000415148, ENST00000528455, ENST00000531110, ENST00000352818"
235,13,"ENST00000681203, ENST00000681158, ENST00000679999, ENST00000530780, ENST00000680252, ENST00000680554, ENST00000526707, ENST00000328194, ENST00000680294, ENST00000680742, ENST00000679568, ENST00000680470, ENST00000530044"
235,12,"ENST00000534797, ENST00000397614, ENST00000529306, ENST00000397615, ENST00000397604, ENST00000533410, ENST00000527485, ENST00000354420, ENST00000529368, ENST00000531149, ENST00000438658, ENST00000356187"
